client timestamp,button,state,x,y
8309,NoButton,Move,681,583
8314,NoButton,Move,684,584
8320,NoButton,Move,685,584
8326,NoButton,Move,687,585
8333,NoButton,Move,688,586
8338,NoButton,Move,689,586
8344,NoButton,Move,691,586
8350,NoButton,Move,692,587
8358,NoButton,Move,693,587
8370,NoButton,Move,694,587
8377,NoButton,Move,694,588
8383,NoButton,Move,695,588
8387,NoButton,Move,696,588
8396,NoButton,Move,697,588
8402,NoButton,Move,698,588
8404,NoButton,Move,698,589
8409,NoButton,Move,699,589
8411,NoButton,Move,700,589
8418,NoButton,Move,701,589
8423,NoButton,Move,703,589
8429,NoButton,Move,704,589
8435,NoButton,Move,706,589
8442,NoButton,Move,708,590
8448,NoButton,Move,709,590
8454,NoButton,Move,711,590
8460,NoButton,Move,713,590
8465,NoButton,Move,714,590
8472,NoButton,Move,716,590
8478,NoButton,Move,718,590
8484,NoButton,Move,720,591
8490,NoButton,Move,721,591
8496,NoButton,Move,723,591
8502,NoButton,Move,725,591
8508,NoButton,Move,726,591
8515,NoButton,Move,727,591
8521,NoButton,Move,728,591
8526,NoButton,Move,729,591
8538,NoButton,Move,730,591
8557,NoButton,Move,731,591
8563,NoButton,Move,732,591
8569,NoButton,Move,733,591
8587,NoButton,Move,734,591
8678,NoButton,Move,734,590
8690,NoButton,Move,734,589
8696,NoButton,Move,734,588
8702,NoButton,Move,734,587
8709,NoButton,Move,734,585
8715,NoButton,Move,734,584
8720,NoButton,Move,734,582
8727,NoButton,Move,734,580
8733,NoButton,Move,734,578
8739,NoButton,Move,734,576
8745,NoButton,Move,734,573
8751,NoButton,Move,734,571
8757,NoButton,Move,734,569
8762,NoButton,Move,734,567
8769,NoButton,Move,734,565
8775,NoButton,Move,734,563
8781,NoButton,Move,734,561
8787,NoButton,Move,734,559
8793,NoButton,Move,734,557
8799,NoButton,Move,734,555
8806,NoButton,Move,734,554
8811,NoButton,Move,734,552
8817,NoButton,Move,735,551
8824,NoButton,Move,735,550
8829,NoButton,Move,735,548
8841,NoButton,Move,735,547
8847,NoButton,Move,735,546
8858,NoButton,Move,735,545
8863,NoButton,Move,735,544
8871,NoButton,Move,735,543
8879,NoButton,Move,735,542
8888,NoButton,Move,735,541
8891,NoButton,Move,735,540
8897,NoButton,Move,735,539
8904,NoButton,Move,735,538
8912,NoButton,Move,735,537
8913,NoButton,Move,735,536
8923,NoButton,Move,735,535
8932,NoButton,Move,735,534
8939,NoButton,Move,735,533
8942,NoButton,Move,734,533
8945,NoButton,Move,734,532
8952,NoButton,Move,734,531
8957,NoButton,Move,733,531
8963,NoButton,Move,732,530
8969,NoButton,Move,732,529
8975,NoButton,Move,732,528
8982,NoButton,Move,731,528
8987,NoButton,Move,731,527
8997,NoButton,Move,731,526
9004,NoButton,Move,730,526
9008,NoButton,Move,730,525
9017,NoButton,Move,730,524
9020,NoButton,Move,729,524
9023,NoButton,Move,729,523
9029,NoButton,Move,728,523
9035,NoButton,Move,728,522
9042,NoButton,Move,728,521
9048,NoButton,Move,727,521
9054,NoButton,Move,727,520
9060,NoButton,Move,727,519
9066,NoButton,Move,726,519
9072,NoButton,Move,726,518
9081,NoButton,Move,726,517
9093,NoButton,Move,725,517
9119,LeftButton,Pressed,725,517
9251,LeftButton,Released,725,517
9253,NoButton,Move,725,516
9298,NoButton,Move,724,516
